domain,reference_tier,operator,family,n_stacks,exact_agreement,within_one_slice_agreement,mean_absolute_displacement,median_absolute_displacement,p90_absolute_displacement
WBC,REF-C_fixed_disjoint_four,Absolute Central Moment 4,statistical,25773,0.36099794358437126,0.5844488418111977,1.1555115818880224,1.0,2.0
WBC,REF-C_fixed_disjoint_four,Image Power,statistical,25773,0.3580103208784387,0.6097854343693012,1.3834245140263066,1.0,3.0
TBI,REF-A_submitted_full,Tenengrad,gradient,30,1.0,1.0,0.0,0.0,0.0
TBI,REF-A_submitted_full,Brenner Gradient,gradient,30,1.0,1.0,0.0,0.0,0.0
TBI,REF-A_submitted_full,Variance of Laplacian,laplacian,30,0.3,0.6,1.3666666666666667,1.0,3.0
TBI,REF-A_submitted_full,Sum Modified Laplacian,laplacian,30,0.36666666666666664,0.6333333333333333,1.2666666666666666,1.0,3.0
TBI,REF-A_submitted_full,Normalized Variance,statistical,30,0.9666666666666667,1.0,0.03333333333333333,0.0,0.0
TBI,REF-A_submitted_full,Energy of Gradient,gradient,30,1.0,1.0,0.0,0.0,0.0
TBI,REF-A_submitted_full,Histogram Entropy,entropy,30,0.9,1.0,0.1,0.0,0.10000000000000142
TBI,REF-A_submitted_full,GLCM Contrast,texture,30,0.06666666666666667,0.16666666666666666,2.7666666666666666,3.0,4.0
TBI,REF-A_submitted_full,Variance of Gradient,gradient,30,1.0,1.0,0.0,0.0,0.0
TBI,REF-A_submitted_full,Fourier Transform Sharpness Index,frequency,30,1.0,1.0,0.0,0.0,0.0
TBI,REF-A_submitted_full,Fourier High Frequency Energy Ratio,frequency,30,0.6,0.8666666666666667,0.5666666666666667,0.0,2.0
TBI,REF-A_submitted_full,Roberts Focus Measure,gradient,30,0.9666666666666667,1.0,0.03333333333333333,0.0,0.0
TBI,REF-A_submitted_full,Wavelet W1,wavelet,30,0.9,1.0,0.1,0.0,0.10000000000000142
TBI,REF-A_submitted_full,Wavelet W2,wavelet,30,0.9,1.0,0.1,0.0,0.10000000000000142
TBI,REF-A_submitted_full,Wavelet W3,wavelet,30,0.9,1.0,0.1,0.0,0.10000000000000142
TBI,REF-A_submitted_full,Wavelet Detail Energy (db1),wavelet,30,0.9,1.0,0.1,0.0,0.10000000000000142
TBI,REF-A_submitted_full,Curvelet Transform Sharpness Index,wavelet_alias,30,0.9,1.0,0.1,0.0,0.10000000000000142
TBI,REF-A_submitted_full,DCT Focus Measure,frequency,30,0.9666666666666667,1.0,0.03333333333333333,0.0,0.0
TBI,REF-A_submitted_full,Intensity Skewness Index,statistical,30,0.13333333333333333,0.2,2.966666666666667,4.0,4.0
TBI,REF-A_submitted_full,Squared Gradient,gradient,30,1.0,1.0,0.0,0.0,0.0
TBI,REF-A_submitted_full,Gradient Squared Energy,gradient,30,1.0,1.0,0.0,0.0,0.0
TBI,REF-A_submitted_full,Mean Intensity,statistical,30,0.06666666666666667,0.1,2.9,3.0,4.0
TBI,REF-A_submitted_full,Intensity Variance,statistical,30,0.9666666666666667,1.0,0.03333333333333333,0.0,0.0
TBI,REF-A_submitted_full,Intensity Range Index,statistical,30,0.3,0.7333333333333333,1.1,1.0,3.0
TBI,REF-A_submitted_full,Maximal Intensity,statistical,30,0.13333333333333333,0.5666666666666667,1.6,1.0,3.1000000000000014
TBI,REF-A_submitted_full,Laplacian Energy,laplacian,30,0.3,0.6,1.3666666666666667,1.0,3.0
TBI,REF-A_submitted_full,Mean Absolute Laplacian,laplacian,30,0.2,0.5,1.7333333333333334,1.5,3.1000000000000014
TBI,REF-A_submitted_full,Spatial Frequency,gradient,30,0.9333333333333333,1.0,0.06666666666666667,0.0,0.0
TBI,REF-A_submitted_full,Modified Tenengrad,gradient,30,1.0,1.0,0.0,0.0,0.0
TBI,REF-A_submitted_full,Absolute Central Moment 2,statistical,30,0.9666666666666667,1.0,0.03333333333333333,0.0,0.0
TBI,REF-A_submitted_full,Absolute Central Moment 4,statistical,30,0.9,1.0,0.1,0.0,0.10000000000000142
TBI,REF-A_submitted_full,Image Power,statistical,30,0.06666666666666667,0.13333333333333333,2.7,3.0,4.0
TBI,REF-B_fixed_ten_diagnostic,Tenengrad,gradient,30,1.0,1.0,0.0,0.0,0.0
TBI,REF-B_fixed_ten_diagnostic,Brenner Gradient,gradient,30,1.0,1.0,0.0,0.0,0.0
TBI,REF-B_fixed_ten_diagnostic,Variance of Laplacian,laplacian,30,0.3,0.6,1.3666666666666667,1.0,3.0
TBI,REF-B_fixed_ten_diagnostic,Sum Modified Laplacian,laplacian,30,0.36666666666666664,0.6333333333333333,1.2666666666666666,1.0,3.0
TBI,REF-B_fixed_ten_diagnostic,Normalized Variance,statistical,30,0.9666666666666667,1.0,0.03333333333333333,0.0,0.0
TBI,REF-B_fixed_ten_diagnostic,Energy of Gradient,gradient,30,1.0,1.0,0.0,0.0,0.0
TBI,REF-B_fixed_ten_diagnostic,Histogram Entropy,entropy,30,0.9,1.0,0.1,0.0,0.10000000000000142
TBI,REF-B_fixed_ten_diagnostic,GLCM Contrast,texture,30,0.06666666666666667,0.16666666666666666,2.7666666666666666,3.0,4.0
TBI,REF-B_fixed_ten_diagnostic,Variance of Gradient,gradient,30,1.0,1.0,0.0,0.0,0.0
TBI,REF-B_fixed_ten_diagnostic,Fourier Transform Sharpness Index,frequency,30,1.0,1.0,0.0,0.0,0.0
TBI,REF-B_fixed_ten_diagnostic,Fourier High Frequency Energy Ratio,frequency,30,0.6,0.8666666666666667,0.5666666666666667,0.0,2.0
TBI,REF-B_fixed_ten_diagnostic,Roberts Focus Measure,gradient,30,0.9666666666666667,1.0,0.03333333333333333,0.0,0.0
TBI,REF-B_fixed_ten_diagnostic,Wavelet W1,wavelet,30,0.9,1.0,0.1,0.0,0.10000000000000142
TBI,REF-B_fixed_ten_diagnostic,Wavelet W2,wavelet,30,0.9,1.0,0.1,0.0,0.10000000000000142
TBI,REF-B_fixed_ten_diagnostic,Wavelet W3,wavelet,30,0.9,1.0,0.1,0.0,0.10000000000000142
TBI,REF-B_fixed_ten_diagnostic,Wavelet Detail Energy (db1),wavelet,30,0.9,1.0,0.1,0.0,0.10000000000000142
TBI,REF-B_fixed_ten_diagnostic,Curvelet Transform Sharpness Index,wavelet_alias,30,0.9,1.0,0.1,0.0,0.10000000000000142
TBI,REF-B_fixed_ten_diagnostic,DCT Focus Measure,frequency,30,0.9666666666666667,1.0,0.03333333333333333,0.0,0.0
TBI,REF-B_fixed_ten_diagnostic,Intensity Skewness Index,statistical,30,0.13333333333333333,0.2,2.966666666666667,4.0,4.0
TBI,REF-B_fixed_ten_diagnostic,Squared Gradient,gradient,30,1.0,1.0,0.0,0.0,0.0
TBI,REF-B_fixed_ten_diagnostic,Gradient Squared Energy,gradient,30,1.0,1.0,0.0,0.0,0.0
TBI,REF-B_fixed_ten_diagnostic,Mean Intensity,statistical,30,0.06666666666666667,0.1,2.9,3.0,4.0
TBI,REF-B_fixed_ten_diagnostic,Intensity Variance,statistical,30,0.9666666666666667,1.0,0.03333333333333333,0.0,0.0
TBI,REF-B_fixed_ten_diagnostic,Intensity Range Index,statistical,30,0.3,0.7333333333333333,1.1,1.0,3.0
TBI,REF-B_fixed_ten_diagnostic,Maximal Intensity,statistical,30,0.13333333333333333,0.5666666666666667,1.6,1.0,3.1000000000000014
TBI,REF-B_fixed_ten_diagnostic,Laplacian Energy,laplacian,30,0.3,0.6,1.3666666666666667,1.0,3.0
TBI,REF-B_fixed_ten_diagnostic,Mean Absolute Laplacian,laplacian,30,0.2,0.5,1.7333333333333334,1.5,3.1000000000000014
TBI,REF-B_fixed_ten_diagnostic,Spatial Frequency,gradient,30,0.9333333333333333,1.0,0.06666666666666667,0.0,0.0
TBI,REF-B_fixed_ten_diagnostic,Modified Tenengrad,gradient,30,1.0,1.0,0.0,0.0,0.0
TBI,REF-B_fixed_ten_diagnostic,Absolute Central Moment 2,statistical,30,0.9666666666666667,1.0,0.03333333333333333,0.0,0.0
TBI,REF-B_fixed_ten_diagnostic,Absolute Central Moment 4,statistical,30,0.9,1.0,0.1,0.0,0.10000000000000142
TBI,REF-B_fixed_ten_diagnostic,Image Power,statistical,30,0.06666666666666667,0.13333333333333333,2.7,3.0,4.0
TBI,REF-C_fixed_disjoint_four,Tenengrad,gradient,30,1.0,1.0,0.0,0.0,0.0
TBI,REF-C_fixed_disjoint_four,Brenner Gradient,gradient,30,1.0,1.0,0.0,0.0,0.0
TBI,REF-C_fixed_disjoint_four,Variance of Laplacian,laplacian,30,0.3,0.6,1.3666666666666667,1.0,3.0
TBI,REF-C_fixed_disjoint_four,Sum Modified Laplacian,laplacian,30,0.36666666666666664,0.6333333333333333,1.2666666666666666,1.0,3.0
TBI,REF-C_fixed_disjoint_four,Energy of Gradient,gradient,30,1.0,1.0,0.0,0.0,0.0
TBI,REF-C_fixed_disjoint_four,Variance of Gradient,gradient,30,1.0,1.0,0.0,0.0,0.0
TBI,REF-C_fixed_disjoint_four,Fourier High Frequency Energy Ratio,frequency,30,0.6,0.8666666666666667,0.5666666666666667,0.0,2.0
TBI,REF-C_fixed_disjoint_four,Roberts Focus Measure,gradient,30,0.9666666666666667,1.0,0.03333333333333333,0.0,0.0
TBI,REF-C_fixed_disjoint_four,Wavelet W1,wavelet,30,0.9,1.0,0.1,0.0,0.10000000000000142
TBI,REF-C_fixed_disjoint_four,Wavelet W2,wavelet,30,0.9,1.0,0.1,0.0,0.10000000000000142
TBI,REF-C_fixed_disjoint_four,Wavelet W3,wavelet,30,0.9,1.0,0.1,0.0,0.10000000000000142
TBI,REF-C_fixed_disjoint_four,Wavelet Detail Energy (db1),wavelet,30,0.9,1.0,0.1,0.0,0.10000000000000142
TBI,REF-C_fixed_disjoint_four,Curvelet Transform Sharpness Index,wavelet_alias,30,0.9,1.0,0.1,0.0,0.10000000000000142
TBI,REF-C_fixed_disjoint_four,DCT Focus Measure,frequency,30,0.9666666666666667,1.0,0.03333333333333333,0.0,0.0
TBI,REF-C_fixed_disjoint_four,Intensity Skewness Index,statistical,30,0.13333333333333333,0.2,2.966666666666667,4.0,4.0
TBI,REF-C_fixed_disjoint_four,Squared Gradient,gradient,30,1.0,1.0,0.0,0.0,0.0
TBI,REF-C_fixed_disjoint_four,Gradient Squared Energy,gradient,30,1.0,1.0,0.0,0.0,0.0
TBI,REF-C_fixed_disjoint_four,Mean Intensity,statistical,30,0.06666666666666667,0.1,2.9,3.0,4.0
TBI,REF-C_fixed_disjoint_four,Intensity Variance,statistical,30,0.9666666666666667,1.0,0.03333333333333333,0.0,0.0
TBI,REF-C_fixed_disjoint_four,Intensity Range Index,statistical,30,0.3,0.7333333333333333,1.1,1.0,3.0
TBI,REF-C_fixed_disjoint_four,Maximal Intensity,statistical,30,0.13333333333333333,0.5666666666666667,1.6,1.0,3.1000000000000014
TBI,REF-C_fixed_disjoint_four,Laplacian Energy,laplacian,30,0.3,0.6,1.3666666666666667,1.0,3.0
TBI,REF-C_fixed_disjoint_four,Mean Absolute Laplacian,laplacian,30,0.2,0.5,1.7333333333333334,1.5,3.1000000000000014
TBI,REF-C_fixed_disjoint_four,Spatial Frequency,gradient,30,0.9333333333333333,1.0,0.06666666666666667,0.0,0.0
TBI,REF-C_fixed_disjoint_four,Modified Tenengrad,gradient,30,1.0,1.0,0.0,0.0,0.0
TBI,REF-C_fixed_disjoint_four,Absolute Central Moment 2,statistical,30,0.9666666666666667,1.0,0.03333333333333333,0.0,0.0
TBI,REF-C_fixed_disjoint_four,Absolute Central Moment 4,statistical,30,0.9,1.0,0.1,0.0,0.10000000000000142
TBI,REF-C_fixed_disjoint_four,Image Power,statistical,30,0.06666666666666667,0.13333333333333333,2.7,3.0,4.0
PBS,REF-A_submitted_full,Tenengrad,gradient,77,0.8961038961038961,0.8961038961038961,0.44155844155844154,0.0,0.8000000000000114
PBS,REF-A_submitted_full,Brenner Gradient,gradient,77,0.961038961038961,0.974025974025974,0.11688311688311688,0.0,0.0
PBS,REF-A_submitted_full,Variance of Laplacian,laplacian,77,0.2597402597402597,0.2857142857142857,4.857142857142857,5.0,9.400000000000006
PBS,REF-A_submitted_full,Sum Modified Laplacian,laplacian,77,0.35064935064935066,0.36363636363636365,4.181818181818182,5.0,9.0
PBS,REF-A_submitted_full,Normalized Variance,statistical,77,0.2597402597402597,0.4675324675324675,1.8571428571428572,2.0,4.0
PBS,REF-A_submitted_full,Energy of Gradient,gradient,77,0.8961038961038961,0.8961038961038961,0.44155844155844154,0.0,0.8000000000000114
PBS,REF-A_submitted_full,Histogram Entropy,entropy,77,0.11688311688311688,0.11688311688311688,6.324675324675325,7.0,10.0
PBS,REF-A_submitted_full,GLCM Contrast,texture,77,0.7142857142857143,0.8961038961038961,0.5974025974025974,0.0,1.4000000000000057
PBS,REF-A_submitted_full,Variance of Gradient,gradient,77,0.8831168831168831,0.8831168831168831,0.4935064935064935,0.0,2.0
PBS,REF-A_submitted_full,Fourier Transform Sharpness Index,frequency,77,0.8831168831168831,0.935064935064935,0.2727272727272727,0.0,1.0
PBS,REF-A_submitted_full,Fourier High Frequency Energy Ratio,frequency,77,0.7142857142857143,0.8051948051948052,1.4155844155844155,0.0,6.0
PBS,REF-A_submitted_full,Roberts Focus Measure,gradient,77,0.935064935064935,0.961038961038961,0.2077922077922078,0.0,0.0
PBS,REF-A_submitted_full,Wavelet W1,wavelet,77,0.6883116883116883,0.8961038961038961,0.6363636363636364,0.0,1.4000000000000057
PBS,REF-A_submitted_full,Wavelet W2,wavelet,77,0.6883116883116883,0.8961038961038961,0.6363636363636364,0.0,1.4000000000000057
PBS,REF-A_submitted_full,Wavelet W3,wavelet,77,0.6883116883116883,0.8961038961038961,0.6363636363636364,0.0,1.4000000000000057
PBS,REF-A_submitted_full,Wavelet Detail Energy (db1),wavelet,77,0.6883116883116883,0.8961038961038961,0.6363636363636364,0.0,1.4000000000000057
PBS,REF-A_submitted_full,Curvelet Transform Sharpness Index,wavelet_alias,77,0.6883116883116883,0.8961038961038961,0.6363636363636364,0.0,1.4000000000000057
PBS,REF-A_submitted_full,DCT Focus Measure,frequency,77,0.7532467532467533,0.9090909090909091,0.5064935064935064,0.0,1.0
PBS,REF-A_submitted_full,Intensity Skewness Index,statistical,77,0.1038961038961039,0.12987012987012986,6.818181818181818,7.0,10.0
PBS,REF-A_submitted_full,Squared Gradient,gradient,77,0.8961038961038961,0.8961038961038961,0.44155844155844154,0.0,0.8000000000000114
PBS,REF-A_submitted_full,Gradient Squared Energy,gradient,77,0.8961038961038961,0.8961038961038961,0.44155844155844154,0.0,0.8000000000000114
PBS,REF-A_submitted_full,Mean Intensity,statistical,77,0.19480519480519481,0.4935064935064935,2.1948051948051948,2.0,5.0
PBS,REF-A_submitted_full,Intensity Variance,statistical,77,0.33766233766233766,0.5844155844155844,1.4545454545454546,1.0,3.0
