domain,operator,family,criterion,raw_value,normalized_value,unit,sample_count,reference_tier,runtime_protocol,candidate_pool
WBC,Histogram Entropy,entropy,steep_slope_width,5.693167268071237,0.5420734860710434,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Histogram Entropy,entropy,curvature_at_peak,0.1401544853113533,0.14527072805891492,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Histogram Entropy,entropy,rrmse_under_additive_noise,0.4457058662292399,0.49304620699792095,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,GLCM Contrast,texture,absolute_peak_localization_error,0.24576106778411516,0.04524262607040914,slices,25773,REF-B_fixed_ten_diagnostic,not_applicable,frozen_32
WBC,GLCM Contrast,texture,range_around_global_maximum,1.3623559539052497,0.012266170479898121,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,GLCM Contrast,texture,false_maxima_count,0.35145307104333995,0.46661890184328797,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,GLCM Contrast,texture,fwhm,4.614713071819346,0.055813014626105086,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,GLCM Contrast,texture,noise_level,0.061367806806808,0.14538306654406588,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,GLCM Contrast,texture,steep_to_gradual_slope_ratio,0.7708479528317935,0.047504910158329236,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,GLCM Contrast,texture,execution_time_per_slice,0.009697535,1.0,seconds/slice,25773,not_reference_dependent,r07b_corrected_native_kernel,frozen_32
WBC,GLCM Contrast,texture,steep_slope_width,7.629224382105304,0.8529780115020591,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,GLCM Contrast,texture,curvature_at_peak,0.32193305126139243,0.011459127013801864,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,GLCM Contrast,texture,rrmse_under_additive_noise,0.014798200414115677,0.012403131996557824,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Variance of Gradient,gradient,absolute_peak_localization_error,0.11050323982462266,0.017602283539486206,slices,25773,REF-B_fixed_ten_diagnostic,not_applicable,frozen_32
WBC,Variance of Gradient,gradient,range_around_global_maximum,1.4349513056299228,0.029166026862732716,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Variance of Gradient,gradient,false_maxima_count,0.27420168393279787,0.3369374063700905,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Variance of Gradient,gradient,fwhm,4.81527179606565,0.09928761869517318,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Variance of Gradient,gradient,noise_level,0.04362881397986818,0.0949759608992625,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Variance of Gradient,gradient,steep_to_gradual_slope_ratio,0.6849858002584273,0.07876006342380856,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Variance of Gradient,gradient,execution_time_per_slice,0.000115684,0.010174023864246902,seconds/slice,25773,not_reference_dependent,r07b_corrected_native_kernel,frozen_32
WBC,Variance of Gradient,gradient,steep_slope_width,8.064020486555698,0.9228003713557601,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Variance of Gradient,gradient,curvature_at_peak,0.26785824005007,0.03228715228022617,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Variance of Gradient,gradient,rrmse_under_additive_noise,0.08506795120790041,0.09078342499323612,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Fourier Transform Sharpness Index,frequency,absolute_peak_localization_error,0.07923020214953634,0.01121154456073581,slices,25773,REF-B_fixed_ten_diagnostic,not_applicable,frozen_32
WBC,Fourier Transform Sharpness Index,frequency,range_around_global_maximum,1.5490241725837117,0.05572165367488329,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Fourier Transform Sharpness Index,frequency,false_maxima_count,0.25274512086291856,0.30091838728587245,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Fourier Transform Sharpness Index,frequency,fwhm,5.388313351181469,0.2235043777387151,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Fourier Transform Sharpness Index,frequency,noise_level,0.037372615681915765,0.07719835358996807,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
