domain,stack_index,stack_id,slice_count,submitted_peak,corrected_peak,absolute_peak_shift,submitted_constant,corrected_constant
WBC,23353,WBC_23353,10,7,7,0,False,False
WBC,23354,WBC_23354,10,5,5,0,False,False
WBC,23355,WBC_23355,10,9,9,0,False,False
WBC,23356,WBC_23356,10,6,6,0,False,False
WBC,23357,WBC_23357,10,9,9,0,False,False
WBC,23358,WBC_23358,10,5,5,0,False,False
WBC,23359,WBC_23359,10,9,9,0,False,False
WBC,23360,WBC_23360,10,7,7,0,False,False
WBC,23361,WBC_23361,10,9,9,0,False,False
WBC,23362,WBC_23362,10,8,8,0,False,False
WBC,23363,WBC_23363,10,5,5,0,False,False
WBC,23364,WBC_23364,10,9,9,0,False,False
WBC,23365,WBC_23365,10,9,9,0,False,False
WBC,23366,WBC_23366,10,8,8,0,False,False
WBC,23367,WBC_23367,10,9,9,0,False,False
WBC,23368,WBC_23368,10,5,5,0,False,False
WBC,23369,WBC_23369,10,0,0,0,False,False
WBC,23370,WBC_23370,10,7,7,0,False,False
WBC,23371,WBC_23371,10,9,9,0,False,False
WBC,23372,WBC_23372,10,8,8,0,False,False
WBC,23373,WBC_23373,10,9,9,0,False,False
WBC,23374,WBC_23374,10,5,5,0,False,False
WBC,23375,WBC_23375,10,6,6,0,False,False
WBC,23376,WBC_23376,10,6,6,0,False,False
WBC,23377,WBC_23377,10,5,5,0,False,False
WBC,23378,WBC_23378,10,6,6,0,False,False
WBC,23379,WBC_23379,10,8,8,0,False,False
WBC,23380,WBC_23380,10,6,6,0,False,False
WBC,23381,WBC_23381,10,9,9,0,False,False
WBC,23382,WBC_23382,10,9,9,0,False,False
WBC,23383,WBC_23383,10,9,9,0,False,False
WBC,23384,WBC_23384,10,5,5,0,False,False
WBC,23385,WBC_23385,10,9,9,0,False,False
WBC,23386,WBC_23386,10,9,9,0,False,False
WBC,23387,WBC_23387,10,9,9,0,False,False
WBC,23388,WBC_23388,10,6,6,0,False,False
WBC,23389,WBC_23389,10,9,9,0,False,False
WBC,23390,WBC_23390,10,7,7,0,False,False
WBC,23391,WBC_23391,10,9,9,0,False,False
WBC,23392,WBC_23392,10,5,5,0,False,False
WBC,23393,WBC_23393,10,5,5,0,False,False
WBC,23394,WBC_23394,10,9,9,0,False,False
WBC,23395,WBC_23395,10,9,9,0,False,False
WBC,23396,WBC_23396,10,8,8,0,False,False
WBC,23397,WBC_23397,10,5,5,0,False,False
WBC,23398,WBC_23398,10,0,0,0,False,False
WBC,23399,WBC_23399,10,9,9,0,False,False
WBC,23400,WBC_23400,10,7,7,0,False,False
WBC,23401,WBC_23401,10,8,8,0,False,False
WBC,23402,WBC_23402,10,5,5,0,False,False
WBC,23403,WBC_23403,10,6,6,0,False,False
WBC,23404,WBC_23404,10,7,7,0,False,False
WBC,23405,WBC_23405,10,6,6,0,False,False
WBC,23406,WBC_23406,10,6,6,0,False,False
WBC,23407,WBC_23407,10,8,8,0,False,False
WBC,23408,WBC_23408,10,6,6,0,False,False
WBC,23409,WBC_23409,10,6,6,0,False,False
WBC,23410,WBC_23410,10,6,6,0,False,False
WBC,23411,WBC_23411,10,6,6,0,False,False
