domain,resolution,operator,height,width,megapixels,kernel_n_measurements,kernel_median_ms,kernel_mean_ms,kernel_sd_ms,kernel_iqr_ms,kernel_p5_ms,kernel_p95_ms,kernel_bootstrap_mean_ci_low_ms,kernel_bootstrap_mean_ci_high_ms,preprocessing_n_measurements,preprocessing_median_ms,preprocessing_mean_ms,preprocessing_sd_ms,preprocessing_iqr_ms,preprocessing_p5_ms,preprocessing_p95_ms,preprocessing_bootstrap_mean_ci_low_ms,preprocessing_bootstrap_mean_ci_high_ms,combined_n_measurements,combined_median_ms,combined_mean_ms,combined_sd_ms,combined_iqr_ms,combined_p5_ms,combined_p95_ms,combined_bootstrap_mean_ci_low_ms,combined_bootstrap_mean_ci_high_ms,io_mean_ms,kernel_megapixels_per_second
BMA,512,Image Power,432,512,0.221184,21,0.268848,0.27240295238095236,0.02400080802072337,0.026720999999999995,0.236899,0.30997,0.2624076642857143,0.2822551404761905,21,7.519308,7.857203476190476,1.514655521682723,0.3609619999999998,7.155918,8.099966,7.4464035809523805,8.552358923809523,21,7.773038,7.746814904761904,0.22474972517311448,0.19090600000000002,7.398845,7.968999,7.64975952142857,7.837672609523809,559.8028564285714,822.7102303160151
BMA,1024,Tenengrad,864,1024,0.884736,21,2.24729,2.2286060952380957,0.16384201951236582,0.11913799999999997,1.913896,2.386769,2.1638284142857147,2.3014020428571427,21,8.106778,8.308324095238094,0.6229083977500146,0.42046899999999976,7.928446,9.355247,8.096293741666667,8.598828488095236,21,10.781175,10.759173952380952,0.4856018887688224,0.6715410000000013,10.172212,11.485002,10.565792349999999,10.96560128452381,559.8028564285714,393.6901779476614
BMA,1024,Brenner Gradient,864,1024,0.884736,21,1.379931,1.407012857142857,0.12608625672502366,0.129251,1.224579,1.649053,1.3569971357142856,1.4625592464285713,21,8.106778,8.308324095238094,0.6229083977500146,0.42046899999999976,7.928446,9.355247,8.096293741666667,8.598828488095236,21,9.814171,9.914043238095237,0.4514317463349144,0.34739000000000075,9.362031,10.557255,9.749139433333331,10.117630947619046,559.8028564285714,641.1451007332975
BMA,1024,Variance of Laplacian,864,1024,0.884736,21,1.720284,1.7172449523809525,0.08038307099039958,0.076017,1.603732,1.83669,1.6827558714285713,1.7486095404761905,21,8.106778,8.308324095238094,0.6229083977500146,0.42046899999999976,7.928446,9.355247,8.096293741666667,8.598828488095236,21,10.136297,10.178752047619051,0.29549451395169357,0.37044600000000116,9.818148,10.64107,10.059772767857144,10.305236361904763,559.8028564285714,514.2964766282777
BMA,1024,Sum Modified Laplacian,864,1024,0.884736,21,3.629323,3.632855619047619,0.2128507878255273,0.294851,3.402489,4.053657,3.54648495,3.7271431047619052,21,8.106778,8.308324095238094,0.6229083977500146,0.42046899999999976,7.928446,9.355247,8.096293741666667,8.598828488095236,21,12.168876,12.547831857142858,1.5279808718006682,0.6445080000000001,11.705005,12.839173,12.100867796428572,13.252382041666667,559.8028564285714,243.77438987932462
BMA,1024,Normalized Variance,864,1024,0.884736,21,1.664533,1.6742695714285714,0.09269453165293594,0.09842400000000007,1.528913,1.838225,1.6366400535714285,1.712149994047619,21,8.106778,8.308324095238094,0.6229083977500146,0.42046899999999976,7.928446,9.355247,8.096293741666667,8.598828488095236,21,10.183533,10.47889957142857,1.1958033213760768,0.9218379999999993,9.691484,11.085721,10.089773083333334,11.042973939285716,559.8028564285714,531.5220545342147
BMA,1024,Energy of Gradient,864,1024,0.884736,21,2.376407,2.4194184285714284,0.2300276783586209,0.34886099999999987,2.163798,2.792793,2.3209029297619046,2.5136950833333334,21,8.106778,8.308324095238094,0.6229083977500146,0.42046899999999976,7.928446,9.355247,8.096293741666667,8.598828488095236,21,10.912086,11.099505714285714,0.8134266037451778,0.6793180000000003,10.485598,12.541129,10.812447714285717,11.463969873809521,559.8028564285714,372.2998627760312
BMA,1024,Histogram Entropy,864,1024,0.884736,21,4.42582,4.432966047619048,0.2093508857605996,0.33560500000000015,4.170064,4.684615,4.349768847619048,4.525659061904761,21,8.106778,8.308324095238094,0.6229083977500146,0.42046899999999976,7.928446,9.355247,8.096293741666667,8.598828488095236,21,12.863206,12.90387,0.4503952884380564,0.5031899999999982,12.316476,13.63367,12.725137658333333,13.101586629761902,559.8028564285714,199.90329475667787
BMA,1024,GLCM Contrast,864,1024,0.884736,21,217.337514,217.53826695238092,1.8146344199097388,2.8142150000000186,215.164971,220.553109,216.80769496071423,218.303383927381,21,8.106778,8.308324095238094,0.6229083977500146,0.42046899999999976,7.928446,9.355247,8.096293741666667,8.598828488095236,21,225.265016,225.2797951904762,1.9520932042433492,2.8854610000000207,222.332422,227.983078,224.46735884999998,226.08779201190478,559.8028564285714,4.07079285907356
BMA,1024,Variance of Gradient,864,1024,0.884736,21,3.005412,3.0220022857142856,0.2515371066352125,0.27450699999999983,2.743177,3.259774,2.921832352380953,3.1347314309523804,21,8.106778,8.308324095238094,0.6229083977500146,0.42046899999999976,7.928446,9.355247,8.096293741666667,8.598828488095236,21,11.409296,11.57519357142857,0.6665913900821532,0.639481,10.891543,12.50295,11.32785947857143,11.88268267261905,559.8028564285714,294.3809367900308
