resolution,operator,equal_domain_macro_median_kernel_ms,slice_weighted_micro_median_kernel_ms,equal_domain_macro_median_combined_ms,slice_weighted_micro_median_combined_ms
128,Absolute Central Moment 4,0.1875306,0.21162610649068267,8.569346600000001,0.48420214992847466
128,Image Power,0.0147848,0.012929438799137882,8.016464800000001,0.28649805857445304
512,Tenengrad,0.5867150000000001,0.7086438912624692,8.472103800000001,1.0545640168647121
512,Brenner Gradient,0.3138538,0.36057551727479065,8.1732686,0.7184349581987067
512,Variance of Laplacian,0.40305099999999994,0.3159420058326498,8.386790600000001,0.5799809840126647
512,Sum Modified Laplacian,0.7476708000000001,0.8592926611188464,8.74348,1.2458397050372885
512,Normalized Variance,0.3647694,0.4473465836388258,7.9932064,0.804810130809285
512,Energy of Gradient,0.5853942,0.7075042509031261,8.552281599999999,1.1131775043124987
512,Histogram Entropy,1.1865716,1.6738816681073452,9.0880728,2.078216710492285
512,GLCM Contrast,54.933905200000005,64.01073106613514,63.0692662,64.36190707256671
