condition,operator,family,n_stacks,mean_absolute_peak_error_slices,exact_match_rate,within_one_slice_rate,mean_false_maxima_count,mean_noise_level,mean_fwhm_slices
aspect_0.5x_bilinear,Energy of Gradient,gradient,15,0.2,0.8666666666666667,0.9333333333333333,0.0,0.043883954858279686,5.266666666666667
aspect_0.5x_bilinear,Histogram Entropy,entropy,15,3.8,0.2,0.4,0.4666666666666667,0.06688304792986056,6.8
aspect_0.5x_bilinear,GLCM Contrast,texture,15,0.06666666666666667,0.9333333333333333,1.0,0.2,0.08831061502639624,4.2
aspect_0.5x_bilinear,Variance of Gradient,gradient,15,0.3333333333333333,0.7333333333333333,0.9333333333333333,0.0,0.047758084463867596,5.4
aspect_0.5x_bilinear,Fourier Transform Sharpness Index,frequency,15,0.0,1.0,1.0,0.0,0.04141780163835129,4.933333333333334
aspect_0.5x_bilinear,Fourier High Frequency Energy Ratio,frequency,15,0.4,0.7333333333333333,0.8666666666666667,0.06666666666666667,0.04405132300254956,5.133333333333334
aspect_0.5x_bilinear,Roberts Focus Measure,gradient,15,0.13333333333333333,0.8666666666666667,1.0,0.0,0.062106941830448785,4.6
aspect_0.5x_bilinear,Wavelet W1,wavelet,15,0.3333333333333333,0.7333333333333333,0.9333333333333333,0.0,0.04595759423488761,4.6
aspect_0.5x_bilinear,Wavelet W2,wavelet,15,0.3333333333333333,0.7333333333333333,0.9333333333333333,0.0,0.04595759423488761,4.6
aspect_0.5x_bilinear,Wavelet W3,wavelet,15,0.3333333333333333,0.7333333333333333,0.9333333333333333,0.0,0.04595759423488761,4.6
aspect_0.5x_bilinear,Wavelet Detail Energy (db1),wavelet,15,0.3333333333333333,0.7333333333333333,0.9333333333333333,0.0,0.04595759228620745,4.6
aspect_0.5x_bilinear,Curvelet Transform Sharpness Index,wavelet_alias,15,0.3333333333333333,0.7333333333333333,0.9333333333333333,0.0,0.04595759228620745,4.6
