condition,operator,family,mechanism_score,rank,mean_absolute_peak_error_slices,mean_false_maxima_count,mean_noise_level,mean_fwhm_slices,rank_shift_vs_native,rank_shift_vs_controlled_base
aspect_0.5x_bilinear,Modified Tenengrad,gradient,0.11756147934321091,19,0.2,0.0,0.04445491492957055,5.266666666666667,13,6
aspect_0.5x_bilinear,Fourier High Frequency Energy Ratio,frequency,0.1319787083582123,20,0.4,0.06666666666666667,0.04405132300254956,5.133333333333334,-3,3
aspect_0.5x_bilinear,Variance of Gradient,gradient,0.1337476977255592,21,0.3333333333333333,0.0,0.047758084463867596,5.4,14,6
aspect_0.5x_bilinear,GLCM Contrast,texture,0.1526420641964645,22,0.06666666666666667,0.2,0.08831061502639624,4.2,-3,-4
aspect_0.5x_bilinear,Normalized Variance,statistical,0.24510233918128657,23,1.0666666666666667,0.13333333333333333,0.030495448733803214,6.933333333333334,14,2
aspect_0.5x_bilinear,Absolute Central Moment 2,statistical,0.28159284360886905,24,1.0,0.4,0.03837324530043276,6.466666666666667,14,1
aspect_0.5x_bilinear,Intensity Variance,statistical,0.28159284360886905,25,1.0,0.4,0.03837324530043276,6.466666666666667,14,1
aspect_0.5x_bilinear,Absolute Central Moment 4,statistical,0.2969407617282922,26,1.2,0.4,0.06286415256762963,6.0,14,1
aspect_0.5x_bilinear,Histogram Entropy,entropy,0.4628353091051213,27,3.8,0.4666666666666667,0.06688304792986056,6.8,5,-1
aspect_0.5x_bilinear,Intensity Range Index,statistical,0.48570002553976044,28,0.8666666666666667,0.9333333333333333,0.142257474049509,6.0,7,1
aspect_0.5x_bilinear,Intensity Skewness Index,statistical,0.5611790239543026,29,6.0,0.2,0.048190772531793415,8.466666666666667,5,0
aspect_0.5x_bilinear,Maximal Intensity,statistical,0.6284356725146198,30,1.2666666666666666,1.1333333333333333,0.23430847362626203,5.466666666666667,4,0
aspect_0.5x_bilinear,Image Power,statistical,0.6786508381489975,31,2.6,1.1333333333333333,0.14145694872193254,7.666666666666667,4,0
aspect_0.5x_bilinear,Mean Intensity,statistical,0.7418216887009088,32,4.733333333333333,1.2666666666666666,0.14194426659115292,6.6,0,0
aspect_0.5x_nearest,Fourier Transform Sharpness Index,frequency,0.08987993756980457,1,0.0,0.0,0.045950392158300137,4.666666666666667,0,0
aspect_0.5x_nearest,Wavelet W1,wavelet,0.09526579109909508,2,0.2,0.0,0.05399201659325799,4.333333333333333,-14,-3
aspect_0.5x_nearest,Wavelet W2,wavelet,0.09526579109909508,3,0.2,0.0,0.05399201659325799,4.333333333333333,-14,-3
aspect_0.5x_nearest,Wavelet W3,wavelet,0.09526579109909508,4,0.2,0.0,0.05399201659325799,4.333333333333333,-14,-3
aspect_0.5x_nearest,Curvelet Transform Sharpness Index,wavelet_alias,0.09526580160394979,5,0.2,0.0,0.053992024205456256,4.333333333333333,-9,2
aspect_0.5x_nearest,Wavelet Detail Energy (db1),wavelet,0.09526580160394979,6,0.2,0.0,0.053992024205456256,4.333333333333333,-9,2
aspect_0.5x_nearest,Spatial Frequency,gradient,0.09899865092273322,7,0.06666666666666667,0.0,0.05665174882283684,4.466666666666667,-13,5
aspect_0.5x_nearest,Roberts Focus Measure,gradient,0.10594686793352873,8,0.06666666666666667,0.0,0.0698286586294412,4.2,-11,-6
aspect_0.5x_nearest,Brenner Gradient,gradient,0.11140974812339173,9,0.06666666666666667,0.0,0.057503299390589006,4.733333333333333,1,1
aspect_0.5x_nearest,DCT Focus Measure,frequency,0.11305728266568131,10,0.13333333333333333,0.0,0.05871977921362183,4.666666666666667,-3,-6
aspect_0.5x_nearest,Energy of Gradient,gradient,0.11839593507637264,11,0.13333333333333333,0.0,0.04630440002579473,5.2,9,2
aspect_0.5x_nearest,Gradient Squared Energy,gradient,0.11839593507637264,12,0.13333333333333333,0.0,0.04630440002579473,5.2,9,2
aspect_0.5x_nearest,Squared Gradient,gradient,0.11839593507637264,13,0.13333333333333333,0.0,0.04630440002579473,5.2,9,2
aspect_0.5x_nearest,Tenengrad,gradient,0.11839593507637264,14,0.13333333333333333,0.0,0.04630440002579473,5.2,9,2
aspect_0.5x_nearest,Mean Absolute Laplacian,laplacian,0.12048340543288236,15,0.2,0.0,0.08447858354399482,3.933333333333333,-13,-3
aspect_0.5x_nearest,Sum Modified Laplacian,laplacian,0.1215886209924231,16,0.2,0.0,0.11581188799800826,2.933333333333333,-15,-6
aspect_0.5x_nearest,Modified Tenengrad,gradient,0.12212030253461958,17,0.2,0.0,0.04699033319874669,5.2,11,4
aspect_0.5x_nearest,Variance of Laplacian,laplacian,0.12497405337879892,18,0.2,0.0,0.11826509494344013,2.933333333333333,-12,-1
aspect_0.5x_nearest,Laplacian Energy,laplacian,0.12497405978020153,19,0.2,0.0,0.11826509958212834,2.933333333333333,-10,-1
aspect_0.5x_nearest,Variance of Gradient,gradient,0.1271666907714255,20,0.13333333333333333,0.0,0.05062451231072842,5.266666666666667,13,5
aspect_0.5x_nearest,Fourier High Frequency Energy Ratio,frequency,0.13661153739851323,21,0.4666666666666667,0.06666666666666667,0.04896075331247488,4.866666666666666,-2,4
aspect_0.5x_nearest,GLCM Contrast,texture,0.17543603336282854,22,0.06666666666666667,0.13333333333333333,0.10701217506843978,3.933333333333333,-3,-4
aspect_0.5x_nearest,Normalized Variance,statistical,0.22557281339502092,23,1.0,0.13333333333333333,0.033743003854794486,6.6,14,2
aspect_0.5x_nearest,Absolute Central Moment 2,statistical,0.26581331585545964,24,1.0,0.4,0.040632019498901786,5.933333333333334,14,1
aspect_0.5x_nearest,Intensity Variance,statistical,0.26581331585545964,25,1.0,0.4,0.040632019498901786,5.933333333333334,14,1
aspect_0.5x_nearest,Absolute Central Moment 4,statistical,0.2899013520544286,26,1.1333333333333333,0.3333333333333333,0.06675323641019422,5.866666666666666,14,1
aspect_0.5x_nearest,Intensity Range Index,statistical,0.4518347841304595,27,0.9333333333333333,0.8666666666666667,0.12930932214458143,5.066666666666666,6,0
aspect_0.5x_nearest,Histogram Entropy,entropy,0.49669040410374465,28,3.8,0.5333333333333333,0.07358326791888221,6.866666666666666,6,0
aspect_0.5x_nearest,Intensity Skewness Index,statistical,0.5889152277145164,29,6.0,0.26666666666666666,0.05554853852541223,8.866666666666667,5,0
aspect_0.5x_nearest,Maximal Intensity,statistical,0.6187779980906221,30,1.4666666666666666,1.0,0.21490206017684826,5.0,4,0
aspect_0.5x_nearest,Image Power,statistical,0.6986723886029607,31,2.6,1.1333333333333333,0.14195135117342592,7.466666666666667,4,0
aspect_0.5x_nearest,Mean Intensity,statistical,0.7500192211438145,32,4.733333333333333,1.1333333333333333,0.14120845236493737,6.6,0,0
aspect_1x_area,Fourier Transform Sharpness Index,frequency,0.0984322582030629,1,0.0,0.0,0.05299961310552329,4.266666666666667,0,0
aspect_1x_area,Spatial Frequency,gradient,0.11101633432052274,2,0.06666666666666667,0.0,0.07362993298201699,3.7333333333333334,-18,0
aspect_1x_area,Curvelet Transform Sharpness Index,wavelet_alias,0.11944233370957935,3,0.06666666666666667,0.06666666666666667,0.06882783555438211,3.8,-11,0
aspect_1x_area,Wavelet Detail Energy (db1),wavelet,0.11944233370957935,4,0.06666666666666667,0.06666666666666667,0.06882783555438211,3.8,-11,0
aspect_1x_area,Wavelet W1,wavelet,0.1194424888252546,5,0.06666666666666667,0.06666666666666667,0.06882793391696246,3.8,-11,0
aspect_1x_area,Wavelet W2,wavelet,0.1194424888252546,6,0.06666666666666667,0.06666666666666667,0.06882793391696246,3.8,-11,0
aspect_1x_area,Wavelet W3,wavelet,0.1194424888252546,7,0.06666666666666667,0.06666666666666667,0.06882793391696246,3.8,-11,0
aspect_1x_area,Brenner Gradient,gradient,0.12012768096742604,8,0.0,0.0,0.0811691127243152,3.7333333333333334,0,0
aspect_1x_area,Energy of Gradient,gradient,0.12551486582755828,9,0.06666666666666667,0.0,0.07381635660854162,4.066666666666666,7,0
aspect_1x_area,Gradient Squared Energy,gradient,0.12551486582755828,10,0.06666666666666667,0.0,0.07381635660854162,4.066666666666666,7,0
aspect_1x_area,Squared Gradient,gradient,0.12551486582755828,11,0.06666666666666667,0.0,0.07381635660854162,4.066666666666666,7,0
aspect_1x_area,Tenengrad,gradient,0.12551486582755828,12,0.06666666666666667,0.0,0.07381635660854162,4.066666666666666,7,0
aspect_1x_area,Modified Tenengrad,gradient,0.12653281107098174,13,0.06666666666666667,0.0,0.07446186016993553,4.066666666666666,7,0
aspect_1x_area,Roberts Focus Measure,gradient,0.1301571339516631,14,0.06666666666666667,0.0,0.08937055194448426,3.6,-5,0
aspect_1x_area,Variance of Gradient,gradient,0.13069149513285036,15,0.06666666666666667,0.0,0.07890047053490078,4.0,8,0
aspect_1x_area,DCT Focus Measure,frequency,0.13321882435999804,16,0.13333333333333333,0.0,0.06072676727465243,4.666666666666667,3,0
aspect_1x_area,Fourier High Frequency Energy Ratio,frequency,0.1473065490162022,17,0.4666666666666667,0.0,0.07706625284658784,4.066666666666666,-6,0
aspect_1x_area,Mean Absolute Laplacian,laplacian,0.1953907538828826,18,0.13333333333333333,0.2,0.11115004616287726,3.3333333333333335,-10,0
aspect_1x_area,Variance of Laplacian,laplacian,0.2205346647352051,19,0.13333333333333333,0.2,0.14510929257977553,2.6666666666666665,-11,0
aspect_1x_area,Laplacian Energy,laplacian,0.22053480636638823,20,0.13333333333333333,0.2,0.1451093823915151,2.6666666666666665,-9,0
aspect_1x_area,Normalized Variance,statistical,0.23559609250398722,21,1.0,0.13333333333333333,0.03381708153656017,6.6,12,0
aspect_1x_area,Sum Modified Laplacian,laplacian,0.24200136715008996,22,0.06666666666666667,0.3333333333333333,0.1419943367666692,2.7333333333333334,-9,0
aspect_1x_area,Absolute Central Moment 2,statistical,0.2707080508893148,23,1.0,0.4,0.04072235658561316,5.933333333333334,13,0
aspect_1x_area,Intensity Variance,statistical,0.2707080508893148,24,1.0,0.4,0.04072235658561316,5.933333333333334,13,0
aspect_1x_area,Absolute Central Moment 4,statistical,0.3045331074486784,25,1.1333333333333333,0.3333333333333333,0.06699246459253301,5.933333333333334,13,0
aspect_1x_area,GLCM Contrast,texture,0.4726908011890192,26,1.6,0.5333333333333333,0.1290579450029891,6.2,1,0
aspect_1x_area,Intensity Range Index,statistical,0.4836822818380232,27,0.9333333333333333,1.1333333333333333,0.10917413587558324,5.066666666666666,6,0
aspect_1x_area,Histogram Entropy,entropy,0.5055833950348091,28,3.7333333333333334,0.5333333333333333,0.07373297096082793,6.933333333333334,6,0
aspect_1x_area,Intensity Skewness Index,statistical,0.5566636641919758,29,6.0,0.13333333333333333,0.05306139879031667,8.533333333333333,5,0
aspect_1x_area,Maximal Intensity,statistical,0.5683745348219033,30,1.5333333333333334,0.8,0.19234809427134467,4.933333333333334,4,0
aspect_1x_area,Image Power,statistical,0.6880254818627514,31,2.1333333333333333,1.1333333333333333,0.142193274991398,7.466666666666667,4,0
aspect_1x_area,Mean Intensity,statistical,0.7853501047741777,32,4.733333333333333,1.2666666666666666,0.14194426607233052,6.6,0,0
aspect_2x_area,Fourier Transform Sharpness Index,frequency,0.10085183448688574,1,0.0,0.0,0.058933996657887074,4.133333333333334,0,0
aspect_2x_area,Mean Absolute Laplacian,laplacian,0.1109600191167222,2,0.06666666666666667,0.0,0.07175112350748741,3.8,-26,-16
aspect_2x_area,Spatial Frequency,gradient,0.11153621149348314,3,0.06666666666666667,0.0,0.07362987506924039,3.7333333333333334,-17,1
aspect_2x_area,DCT Focus Measure,frequency,0.12366416040644412,4,0.13333333333333333,0.0,0.06359862299303339,4.533333333333333,-9,-12
aspect_2x_area,Energy of Gradient,gradient,0.12829468691010582,5,0.06666666666666667,0.0,0.09083001892437777,3.533333333333333,3,-4
aspect_2x_area,Gradient Squared Energy,gradient,0.12829468691010582,6,0.06666666666666667,0.0,0.09083001892437777,3.533333333333333,3,-4
aspect_2x_area,Squared Gradient,gradient,0.12829468691010582,7,0.06666666666666667,0.0,0.09083001892437777,3.533333333333333,3,-4
