domain,stack_index,source_folder,condition,geometry,direction,scale_factor,interpolation,operator,family,reference_tier,reference_index,slice_count,peak_index,absolute_peak_error_slices,exact_match,within_one_slice,false_maxima_count,noise_level,fwhm_slices
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,Energy of Gradient,gradient,REF-B_fixed_ten_diagnostic,7,10,7,0,1,1,0.0,0.016258767562686103,6.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,Histogram Entropy,entropy,REF-B_fixed_ten_diagnostic,7,10,4,3,0,0,2.0,0.5384319822683188,10.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,GLCM Contrast,texture,REF-B_fixed_ten_diagnostic,7,10,7,0,1,1,0.0,0.03106205034640838,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,Variance of Gradient,gradient,REF-B_fixed_ten_diagnostic,7,10,6,1,0,1,0.0,0.013755381267542154,6.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,Fourier Transform Sharpness Index,frequency,REF-B_fixed_ten_diagnostic,7,10,7,0,1,1,0.0,0.00977109737343833,6.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,Fourier High Frequency Energy Ratio,frequency,REF-B_fixed_ten_diagnostic,7,10,5,2,0,0,0.0,0.02466819420990402,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,Roberts Focus Measure,gradient,REF-B_fixed_ten_diagnostic,7,10,6,1,0,1,0.0,0.016356947821778146,6.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,Wavelet W1,wavelet,REF-B_fixed_ten_diagnostic,7,10,6,1,0,1,0.0,0.02056386658173029,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,Wavelet W2,wavelet,REF-B_fixed_ten_diagnostic,7,10,6,1,0,1,0.0,0.02056386658173029,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,Wavelet W3,wavelet,REF-B_fixed_ten_diagnostic,7,10,6,1,0,1,0.0,0.02056386658173029,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,Wavelet Detail Energy (db1),wavelet,REF-B_fixed_ten_diagnostic,7,10,6,1,0,1,0.0,0.020563884322554703,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,Curvelet Transform Sharpness Index,wavelet_alias,REF-B_fixed_ten_diagnostic,7,10,6,1,0,1,0.0,0.020563884322554703,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,DCT Focus Measure,frequency,REF-B_fixed_ten_diagnostic,7,10,7,0,1,1,0.0,0.012285150374995963,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,Intensity Skewness Index,statistical,REF-B_fixed_ten_diagnostic,7,10,9,2,0,0,1.0,0.028944544853849404,3.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,Squared Gradient,gradient,REF-B_fixed_ten_diagnostic,7,10,7,0,1,1,0.0,0.016258767562686103,6.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,Gradient Squared Energy,gradient,REF-B_fixed_ten_diagnostic,7,10,7,0,1,1,0.0,0.016258767562686103,6.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,Mean Intensity,statistical,REF-B_fixed_ten_diagnostic,7,10,1,6,0,0,0.0,0.009743772061484251,6.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,Intensity Variance,statistical,REF-B_fixed_ten_diagnostic,7,10,8,1,0,1,0.0,0.004936260167593409,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,Intensity Range Index,statistical,REF-B_fixed_ten_diagnostic,7,10,5,2,0,0,2.0,0.09499344252970696,7.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,Maximal Intensity,statistical,REF-B_fixed_ten_diagnostic,7,10,2,5,0,0,0.0,0.5315345994415368,10.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,Laplacian Energy,laplacian,REF-B_fixed_ten_diagnostic,7,10,5,2,0,0,0.0,0.02311133314742874,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,Mean Absolute Laplacian,laplacian,REF-B_fixed_ten_diagnostic,7,10,5,2,0,0,0.0,0.022053714915911217,6.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,Spatial Frequency,gradient,REF-B_fixed_ten_diagnostic,7,10,6,1,0,1,0.0,0.012117779723542475,6.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,Modified Tenengrad,gradient,REF-B_fixed_ten_diagnostic,7,10,6,1,0,1,0.0,0.015897990538902385,6.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,Absolute Central Moment 2,statistical,REF-B_fixed_ten_diagnostic,7,10,8,1,0,1,0.0,0.004936260167593409,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,Absolute Central Moment 4,statistical,REF-B_fixed_ten_diagnostic,7,10,8,1,0,1,0.0,0.0053777098893119995,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,Image Power,statistical,REF-B_fixed_ten_diagnostic,7,10,7,0,1,1,0.0,0.008011511947884967,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,Tenengrad,gradient,REF-B_fixed_ten_diagnostic,7,10,7,0,1,1,0.0,0.0161472015950754,6.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,Brenner Gradient,gradient,REF-B_fixed_ten_diagnostic,7,10,7,0,1,1,0.0,0.014705132564535584,6.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,Variance of Laplacian,laplacian,REF-B_fixed_ten_diagnostic,7,10,5,2,0,0,0.0,0.022898118395986294,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,Sum Modified Laplacian,laplacian,REF-B_fixed_ten_diagnostic,7,10,5,2,0,0,0.0,0.022535735766082504,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,Normalized Variance,statistical,REF-B_fixed_ten_diagnostic,7,10,8,1,0,1,0.0,0.00488134437242136,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,Energy of Gradient,gradient,REF-B_fixed_ten_diagnostic,7,10,7,0,1,1,0.0,0.0161472015950754,6.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,Histogram Entropy,entropy,REF-B_fixed_ten_diagnostic,7,10,4,3,0,0,2.0,0.5340268099608999,10.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,GLCM Contrast,texture,REF-B_fixed_ten_diagnostic,7,10,6,1,0,1,0.0,0.026562284092799364,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,Variance of Gradient,gradient,REF-B_fixed_ten_diagnostic,7,10,6,1,0,1,0.0,0.013765234731201073,6.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,Fourier Transform Sharpness Index,frequency,REF-B_fixed_ten_diagnostic,7,10,7,0,1,1,0.0,0.009692298439022733,6.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,Fourier High Frequency Energy Ratio,frequency,REF-B_fixed_ten_diagnostic,7,10,5,2,0,0,0.0,0.024552130914189015,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,Roberts Focus Measure,gradient,REF-B_fixed_ten_diagnostic,7,10,6,1,0,1,0.0,0.016328315355472092,6.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,Wavelet W1,wavelet,REF-B_fixed_ten_diagnostic,7,10,6,1,0,1,0.0,0.02141827541236764,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,Wavelet W2,wavelet,REF-B_fixed_ten_diagnostic,7,10,6,1,0,1,0.0,0.02141827541236764,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,Wavelet W3,wavelet,REF-B_fixed_ten_diagnostic,7,10,6,1,0,1,0.0,0.02141827541236764,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,Wavelet Detail Energy (db1),wavelet,REF-B_fixed_ten_diagnostic,7,10,6,1,0,1,0.0,0.021418341013236215,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,Curvelet Transform Sharpness Index,wavelet_alias,REF-B_fixed_ten_diagnostic,7,10,6,1,0,1,0.0,0.021418341013236215,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,DCT Focus Measure,frequency,REF-B_fixed_ten_diagnostic,7,10,7,0,1,1,0.0,0.012247001633318863,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,Intensity Skewness Index,statistical,REF-B_fixed_ten_diagnostic,7,10,9,2,0,0,1.0,0.029069657015941747,3.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,Squared Gradient,gradient,REF-B_fixed_ten_diagnostic,7,10,7,0,1,1,0.0,0.0161472015950754,6.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,Gradient Squared Energy,gradient,REF-B_fixed_ten_diagnostic,7,10,7,0,1,1,0.0,0.0161472015950754,6.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,Mean Intensity,statistical,REF-B_fixed_ten_diagnostic,7,10,1,6,0,0,0.0,0.009565317406525801,6.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,Intensity Variance,statistical,REF-B_fixed_ten_diagnostic,7,10,8,1,0,1,0.0,0.004886505981864133,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,Intensity Range Index,statistical,REF-B_fixed_ten_diagnostic,7,10,5,2,0,0,2.0,0.08321459933150285,7.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,Maximal Intensity,statistical,REF-B_fixed_ten_diagnostic,7,10,3,4,0,0,0.0,0.3437290079917212,10.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,Laplacian Energy,laplacian,REF-B_fixed_ten_diagnostic,7,10,5,2,0,0,0.0,0.02289799974290533,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,Mean Absolute Laplacian,laplacian,REF-B_fixed_ten_diagnostic,7,10,5,2,0,0,0.0,0.022286534880088124,6.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,Spatial Frequency,gradient,REF-B_fixed_ten_diagnostic,7,10,6,1,0,1,0.0,0.012072731705985388,6.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,Modified Tenengrad,gradient,REF-B_fixed_ten_diagnostic,7,10,7,0,1,1,0.0,0.015830349354386992,6.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,Absolute Central Moment 2,statistical,REF-B_fixed_ten_diagnostic,7,10,8,1,0,1,0.0,0.004886505981864133,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,Absolute Central Moment 4,statistical,REF-B_fixed_ten_diagnostic,7,10,8,1,0,1,0.0,0.005322192710776277,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bilinear,aspect_preserved,downsample,0.5,bilinear,Image Power,statistical,REF-B_fixed_ten_diagnostic,7,10,7,0,1,1,0.0,0.00797913582807814,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bicubic,aspect_preserved,downsample,0.5,bicubic,Tenengrad,gradient,REF-B_fixed_ten_diagnostic,7,10,7,0,1,1,0.0,0.016268601594508707,6.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bicubic,aspect_preserved,downsample,0.5,bicubic,Brenner Gradient,gradient,REF-B_fixed_ten_diagnostic,7,10,7,0,1,1,0.0,0.01479619344741857,6.0
