domain,operator,family,reference_tier,n_stacks,mean_absolute_displacement_slices,median_absolute_displacement_slices,p90_absolute_displacement_slices,mean_absolute_displacement_um,median_absolute_displacement_um,p90_absolute_displacement_um,mean_normalized_axial_displacement,exact_match_rate,within_one_slice_rate,units_status
WBC,Roberts Focus Measure,gradient,REF-C_fixed_disjoint_four_confirmatory,25773,1.0425639234858184,1.0,3.0,0.4170255693943274,0.4,1.2000000000000002,0.11584043594286872,0.45190703449346215,0.6349668257478757,axial step verified from official record
WBC,Wavelet W1,wavelet,REF-B_fixed_ten_diagnostic,25773,0.17138090249485896,0.0,1.0,0.0685523609979436,0.0,0.4,0.019042322499428773,0.8427036045473946,0.9919295386644938,axial step verified from official record
WBC,Wavelet W1,wavelet,REF-C_fixed_disjoint_four_confirmatory,25773,1.0636712839017577,1.0,3.0,0.42546851356070303,0.4,1.2000000000000002,0.11818569821130641,0.4333604935397509,0.6357428316455205,axial step verified from official record
WBC,Wavelet W2,wavelet,REF-B_fixed_ten_diagnostic,25773,0.17138090249485896,0.0,1.0,0.0685523609979436,0.0,0.4,0.019042322499428773,0.8427036045473946,0.9919295386644938,axial step verified from official record
WBC,Wavelet W2,wavelet,REF-C_fixed_disjoint_four_confirmatory,25773,1.0636712839017577,1.0,3.0,0.42546851356070303,0.4,1.2000000000000002,0.11818569821130641,0.4333604935397509,0.6357428316455205,axial step verified from official record
WBC,Wavelet W3,wavelet,REF-B_fixed_ten_diagnostic,25773,0.17138090249485896,0.0,1.0,0.0685523609979436,0.0,0.4,0.019042322499428773,0.8427036045473946,0.9919295386644938,axial step verified from official record
WBC,Wavelet W3,wavelet,REF-C_fixed_disjoint_four_confirmatory,25773,1.0636712839017577,1.0,3.0,0.42546851356070303,0.4,1.2000000000000002,0.11818569821130641,0.4333604935397509,0.6357428316455205,axial step verified from official record
WBC,Wavelet Detail Energy (db1),wavelet,REF-B_fixed_ten_diagnostic,25773,0.17138090249485896,0.0,1.0,0.0685523609979436,0.0,0.4,0.019042322499428773,0.8427036045473946,0.9919295386644938,axial step verified from official record
WBC,Wavelet Detail Energy (db1),wavelet,REF-C_fixed_disjoint_four_confirmatory,25773,1.0636712839017577,1.0,3.0,0.42546851356070303,0.4,1.2000000000000002,0.11818569821130641,0.4333604935397509,0.6357428316455205,axial step verified from official record
WBC,Curvelet Transform Sharpness Index,wavelet_alias,REF-B_fixed_ten_diagnostic,25773,0.17138090249485896,0.0,1.0,0.0685523609979436,0.0,0.4,0.019042322499428773,0.8427036045473946,0.9919295386644938,axial step verified from official record
WBC,Curvelet Transform Sharpness Index,wavelet_alias,REF-C_fixed_disjoint_four_confirmatory,25773,1.0636712839017577,1.0,3.0,0.42546851356070303,0.4,1.2000000000000002,0.11818569821130641,0.4333604935397509,0.6357428316455205,axial step verified from official record
WBC,DCT Focus Measure,frequency,REF-B_fixed_ten_diagnostic,25773,0.594459317890816,1.0,1.0,0.23778372715632637,0.4,0.4,0.06605103532120178,0.4214876033057851,0.9866138982656268,axial step verified from official record
WBC,DCT Focus Measure,frequency,REF-C_fixed_disjoint_four_confirmatory,25773,0.9294998641989679,1.0,2.0,0.3717999456795871,0.4,0.8,0.10327776268877423,0.28141853878089473,0.804795716447445,axial step verified from official record
WBC,Intensity Skewness Index,statistical,REF-B_fixed_ten_diagnostic,25773,2.8904279672525512,3.0,4.0,1.1561711869010205,1.2000000000000002,1.6,0.32115866302806123,0.015558918247778683,0.12311333566135102,axial step verified from official record
WBC,Intensity Skewness Index,statistical,REF-C_fixed_disjoint_four_confirmatory,25773,2.1617972296589456,2.0,4.0,0.8647188918635782,0.8,1.6,0.24019969218432727,0.07992860745741667,0.3908741706436969,axial step verified from official record
WBC,Squared Gradient,gradient,REF-B_fixed_ten_diagnostic,25773,0.024366585186047413,0.0,0.0,0.009746634074418968,0.0,0.0,0.002707398354005268,0.9774958289683001,0.999185193807473,axial step verified from official record
WBC,Squared Gradient,gradient,REF-C_fixed_disjoint_four_confirmatory,25773,0.9500252201916735,1.0,2.0,0.38001008807666936,0.4,0.8,0.10555835779907483,0.4858960928103054,0.6637178442556163,axial step verified from official record
WBC,Gradient Squared Energy,gradient,REF-B_fixed_ten_diagnostic,25773,0.024366585186047413,0.0,0.0,0.009746634074418968,0.0,0.0,0.002707398354005268,0.9774958289683001,0.999185193807473,axial step verified from official record
WBC,Gradient Squared Energy,gradient,REF-C_fixed_disjoint_four_confirmatory,25773,0.9500252201916735,1.0,2.0,0.38001008807666936,0.4,0.8,0.10555835779907483,0.4858960928103054,0.6637178442556163,axial step verified from official record
WBC,Mean Intensity,statistical,REF-B_fixed_ten_diagnostic,25773,4.9178597757342954,5.0,6.0,1.967143910293718,2.0,2.4000000000000004,0.5464288639704773,0.00011640088464672332,0.003026423000814806,axial step verified from official record
WBC,Mean Intensity,statistical,REF-C_fixed_disjoint_four_confirmatory,25773,5.842432002483219,6.0,8.0,2.3369728009932875,2.4000000000000004,3.2,0.6491591113870243,0.00015520117952896441,0.0034144259496372174,axial step verified from official record
WBC,Intensity Variance,statistical,REF-B_fixed_ten_diagnostic,25773,2.26419120785318,2.0,3.0,0.905676483141272,0.8,1.2000000000000002,0.25157680087257556,0.0016296123850541265,0.12427734450781826,axial step verified from official record
WBC,Intensity Variance,statistical,REF-C_fixed_disjoint_four_confirmatory,25773,1.3355837504365033,1.0,3.0,0.5342335001746014,0.4,1.2000000000000002,0.14839819449294483,0.30788033989058317,0.5323788460792303,axial step verified from official record
WBC,Intensity Range Index,statistical,REF-B_fixed_ten_diagnostic,25773,1.2279905327280487,1.0,3.0,0.4911962130912196,0.4,1.2000000000000002,0.13644339252533874,0.29515384316920806,0.692468862763357,axial step verified from official record
WBC,Intensity Range Index,statistical,REF-C_fixed_disjoint_four_confirmatory,25773,1.8275714895433206,1.0,4.0,0.7310285958173284,0.4,1.6,0.20306349883814676,0.18185698211306406,0.5142979086641059,axial step verified from official record
WBC,Maximal Intensity,statistical,REF-B_fixed_ten_diagnostic,25773,1.2203856749311295,1.0,2.0,0.4881542699724518,0.4,0.8,0.13559840832568107,0.21623404337872967,0.6190587048461569,axial step verified from official record
WBC,Maximal Intensity,statistical,REF-C_fixed_disjoint_four_confirmatory,25773,1.2218212858417723,1.0,2.0,0.48872851433670905,0.4,0.8,0.13575792064908584,0.22799053272804873,0.6411360726341521,axial step verified from official record
WBC,Laplacian Energy,laplacian,REF-B_fixed_ten_diagnostic,25773,0.7652582159624414,1.0,1.0,0.30610328638497647,0.4,0.4,0.0850286906624935,0.30213789624801146,0.9424979629845187,axial step verified from official record
WBC,Laplacian Energy,laplacian,REF-C_fixed_disjoint_four_confirmatory,25773,1.7012377294067436,1.0,3.0,0.6804950917626974,0.4,1.2000000000000002,0.18902641437852707,0.14976913824545066,0.5113102859581733,axial step verified from official record
WBC,Mean Absolute Laplacian,laplacian,REF-B_fixed_ten_diagnostic,25773,0.7656074186163815,1.0,1.0,0.3062429674465526,0.4,0.4,0.08506749095737572,0.3507546657354596,0.9090909090909091,axial step verified from official record
