domain,operator,family,criterion,raw_value,normalized_value,unit,sample_count,reference_tier,runtime_protocol,candidate_pool,axial_step_um,raw_value_um,physical_unit_status
TBI,Fourier Transform Sharpness Index,frequency,fwhm,1.9666666666666663,0.0677966101694915,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,4.916666666666666,converted from slices using verified dataset axial step
TBI,Fourier High Frequency Energy Ratio,frequency,range_around_global_maximum,1.1,0.064516129032258,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,2.75,converted from slices using verified dataset axial step
TBI,Fourier High Frequency Energy Ratio,frequency,fwhm,5.633333333333334,0.5338983050847458,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,14.083333333333334,converted from slices using verified dataset axial step
TBI,Roberts Focus Measure,gradient,range_around_global_maximum,1.0333333333333334,0.0,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,2.5833333333333335,converted from slices using verified dataset axial step
TBI,Roberts Focus Measure,gradient,fwhm,1.8666666666666667,0.0550847457627118,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,4.666666666666667,converted from slices using verified dataset axial step
TBI,Wavelet W1,wavelet,range_around_global_maximum,1.0333333333333334,0.0,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,2.5833333333333335,converted from slices using verified dataset axial step
TBI,Wavelet W1,wavelet,fwhm,2.2333333333333334,0.1016949152542372,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,5.583333333333334,converted from slices using verified dataset axial step
TBI,Wavelet W2,wavelet,range_around_global_maximum,1.0333333333333334,0.0,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,2.5833333333333335,converted from slices using verified dataset axial step
TBI,Wavelet W2,wavelet,fwhm,2.2333333333333334,0.1016949152542372,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,5.583333333333334,converted from slices using verified dataset axial step
TBI,Wavelet W3,wavelet,range_around_global_maximum,1.0333333333333334,0.0,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,2.5833333333333335,converted from slices using verified dataset axial step
TBI,Wavelet W3,wavelet,fwhm,2.2333333333333334,0.1016949152542372,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,5.583333333333334,converted from slices using verified dataset axial step
TBI,Wavelet Detail Energy (db1),wavelet,range_around_global_maximum,1.0333333333333334,0.0,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,2.5833333333333335,converted from slices using verified dataset axial step
TBI,Wavelet Detail Energy (db1),wavelet,fwhm,2.2333333333333334,0.1016949152542372,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,5.583333333333334,converted from slices using verified dataset axial step
TBI,Curvelet Transform Sharpness Index,wavelet_alias,range_around_global_maximum,1.0333333333333334,0.0,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,2.5833333333333335,converted from slices using verified dataset axial step
TBI,Curvelet Transform Sharpness Index,wavelet_alias,fwhm,2.2333333333333334,0.1016949152542372,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,5.583333333333334,converted from slices using verified dataset axial step
TBI,DCT Focus Measure,frequency,range_around_global_maximum,1.0333333333333334,0.0,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,2.5833333333333335,converted from slices using verified dataset axial step
TBI,DCT Focus Measure,frequency,fwhm,1.9333333333333331,0.0635593220338983,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,4.833333333333333,converted from slices using verified dataset axial step
TBI,Intensity Skewness Index,statistical,range_around_global_maximum,2.066666666666667,1.0,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,5.166666666666667,converted from slices using verified dataset axial step
TBI,Intensity Skewness Index,statistical,fwhm,8.933333333333334,0.9533898305084744,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,22.333333333333336,converted from slices using verified dataset axial step
TBI,Squared Gradient,gradient,range_around_global_maximum,1.0333333333333334,0.0,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,2.5833333333333335,converted from slices using verified dataset axial step
TBI,Squared Gradient,gradient,fwhm,1.4333333333333331,0.0,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,3.583333333333333,converted from slices using verified dataset axial step
TBI,Gradient Squared Energy,gradient,range_around_global_maximum,1.0333333333333334,0.0,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,2.5833333333333335,converted from slices using verified dataset axial step
TBI,Gradient Squared Energy,gradient,fwhm,1.4333333333333331,0.0,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,3.583333333333333,converted from slices using verified dataset axial step
TBI,Mean Intensity,statistical,range_around_global_maximum,1.1666666666666667,0.1290322580645161,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,2.916666666666667,converted from slices using verified dataset axial step
TBI,Mean Intensity,statistical,fwhm,9.3,1.0,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,23.25,converted from slices using verified dataset axial step
TBI,Intensity Variance,statistical,range_around_global_maximum,1.0333333333333334,0.0,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,2.5833333333333335,converted from slices using verified dataset axial step
